BookingID,Canceled
16445,1
39510,0
26676,1
39797,0
28624,0
25397,0
14664,1
17816,1
26804,0
13218,0
21289,0
38511,0
35701,1
17279,1
27235,0
12275,0
13149,0
12596,0
24722,0
34893,1
17662,0
34707,1
37751,0
17393,0
30612,0
25981,0
14185,0
10887,0
14884,1
22629,0
18839,1
24560,0
18768,0
11709,0
23434,0
12631,0
23595,0
34944,1
32808,0
11316,1
11061,1
21900,0
36893,1
23014,1
26009,0
22077,0
14560,0
32149,1
22548,1
19191,0
27415,0
27069,1
20547,1
28680,1
21704,0
35182,0
20833,0
15136,0
23108,0
39077,0
15205,1
30145,1
25355,0
19845,0
38838,0
32747,0
27893,0
31567,0
22802,1
18179,0
35523,0
17490,0
15944,1
26940,1
33463,1
35391,1
26568,1
12328,1
22446,0
36872,0
25069,0
37830,0
18457,1
37319,0
16456,0
18104,0
15730,0
19315,0
24702,0
13049,1
37923,1
23760,1
20068,1
13420,0
17068,0
30514,0
11437,0
36829,0
36351,0
32656,0
20458,0
19685,1
27321,1
39734,1
29272,0
34449,1
31780,0
22229,0
34188,0
20557,0
14334,0
24642,1
35762,0
16729,0
35158,0
37274,1
35025,1
27679,0
22422,1
27577,0
10122,0
37160,0
28442,0
27095,0
30900,0
32945,0
11774,1
36378,0
32931,0
20468,0
18743,0
36254,0
36947,1
30851,0
39799,0
17943,0
30517,0
31257,0
34635,1
33974,0
17265,0
14700,0
31189,0
15476,1
19900,1
24579,1
24340,0
29281,1
20608,0
23057,1
26916,1
18141,0
22147,1
14634,0
26834,0
18009,0
23806,0
27006,0
30347,0
37008,0
23700,1
17669,0
35831,0
36941,0
24463,0
34684,0
11692,0
16129,0
32995,0
28443,1
28085,0
16524,1
19992,0
28046,1
27230,1
20581,0
33115,0
18574,0
25523,0
15773,0
25776,0
33987,1
22970,0
29678,0
24192,0
29445,0
35619,0
25813,0
15837,1
27215,0
34444,1
23404,0
39356,1
28244,0
17544,0
28376,0
29092,0
35850,1
17126,0
21264,1
33032,1
33776,0
28892,0
14337,0
37462,1
33819,0
37722,1
14232,0
32613,0
35474,0
38642,1
16629,0
17957,0
18581,0
38535,1
36654,0
13085,0
32681,0
11761,0
31034,0
11438,1
18871,0
17523,0
28990,0
11789,0
34158,0
34113,0
22969,0
39695,0
12962,0
16603,1
35397,0
39804,0
21681,1
39336,1
32802,1
37295,0
15531,0
20809,0
34250,0
16606,0
30618,1
11803,0
27455,1
33832,1
20922,0
22550,0
30843,0
11853,0
17361,0
14903,1
12461,0
26121,0
24250,1
34457,0
26980,0
33853,0
19530,0
13948,0
26651,0
10137,0
24738,0
17395,0
24208,0
11235,1
35061,0
22016,0
21895,0
23026,0
21776,0
25522,0
14249,0
17240,1
33587,0
16929,0
36942,1
13043,1
21809,0
20835,0
23095,1
29650,0
21394,1
30241,0
17091,1
30816,1
30253,0
37799,0
37271,1
30048,0
38768,1
33434,0
20329,0
13882,0
36580,0
10690,0
21983,0
33348,0
11827,0
31995,0
10427,0
15360,1
18371,1
23666,0
13982,0
34098,1
17650,0
13388,1
12404,0
26731,1
18888,0
32899,0
15436,0
31268,0
25708,0
14413,0
33442,1
35510,1
17302,0
21870,0
37148,1
27564,1
32717,0
25452,0
29201,0
31972,1
36683,0
13151,0
12308,0
31840,0
25065,1
14726,0
24648,0
23199,0
35807,1
11436,1
32079,0
35240,0
21435,0
21168,0
16768,1
35861,0
17906,1
16546,0
11572,1
27505,0
34215,0
14713,0
26660,0
33909,0
39292,0
19104,0
36441,0
25286,1
16597,1
37090,0
